code_geo;libelle_geo;echelle_geo;nb_ventes_whole_appartement;moy_prix_m2_whole_appartement;med_prix_m2_whole_appartement;nb_ventes_whole_maison;moy_prix_m2_whole_maison;med_prix_m2_whole_maison;nb_ventes_whole_apt_maison;moy_prix_m2_whole_apt_maison;med_prix_m2_whole_apt_maison;nb_ventes_whole_local;moy_prix_m2_whole_local;med_prix_m2_whole_local
9;Ariege;departement;2034;1485;1370;11780;1413;1339;13814;1424;1346;525;928;662
11;Aude;departement;11608;2178;2037;28576;1846;1678;40184;1942;1769;1325;1140;794
12;Aveyron;departement;5884;1708;1692;13974;1436;1349;19858;1516;1464;993;798;500
30;Gard;departement;21791;2494;2130;36586;2519;2387;58377;2510;2312;2248;1643;1141
31;Haute-Garonne;departement;61889;3108;2881;49514;2764;2664;111403;2955;2778;4200;2994;1809
32;Gers;departement;2048;1505;1451;12345;1539;1456;14393;1534;1455;565;782;547
34;Herault;departement;65774;3262;3137;53304;2916;2750;119078;3107;2961;5203;2477;1891
46;Lot;departement;1521;1458;1368;11588;1541;1483;13109;1532;1466;602;765;525
48;Lozere;departement;708;1375;1336;3802;1447;1337;4510;1436;1337;216;634;417
65;Hautes-Pyrenees;departement;9260;1856;1556;11418;1638;1547;20678;1735;1550;899;1182;607
66;Pyrenees-Orientales;departement;26596;2338;2103;31902;2376;2273;58498;2359;2206;2223;1501;1181
81;Tarn;departement;3964;1823;1729;22616;1627;1562;26580;1656;1594;1101;894;562
82;Tarn-et-Garonne;departement;3551;1670;1574;15067;1740;1711;18618;1727;1677;643;921;765
