code_geo;libelle_geo;code_departement;echelle_geo;nb_ventes_whole_appartement;moy_prix_m2_whole_appartement;med_prix_m2_whole_appartement;nb_ventes_whole_maison;moy_prix_m2_whole_maison;med_prix_m2_whole_maison;nb_ventes_whole_apt_maison;moy_prix_m2_whole_apt_maison;med_prix_m2_whole_apt_maison;nb_ventes_whole_local;moy_prix_m2_whole_local;med_prix_m2_whole_local
9002;Aigues-Vives;9;commune;;;;31;1724;1722;31;1724;1722;1;212;212
9005;Aleu;9;commune;;;;29;1200;851;29;1200;851;;;
9014;Argein;9;commune;1;1833;1833;20;1611;1525;21;1622;1600;;;
9015;Arignac;9;commune;;;;39;1377;1382;39;1377;1382;2;1324;1324
9023;Ascou;9;commune;;;;23;1684;1639;23;1684;1639;2;401;401
9030;Auzat;9;commune;1;772;772;63;1226;1103;64;1219;1091;1;71;71
9032;Ax-les-Thermes;9;commune;380;2309;2289;105;2231;1973;485;2292;2260;96;1903;1973
9040;La Bastide-de-Lordat;9;commune;;;;22;1392;1375;22;1392;1375;;;
9042;La Bastide-de-Serou;9;commune;1;1843;1843;69;1156;1143;70;1166;1146;1;236;236
9043;La Bastide-sur-l'Hers;9;commune;2;758;758;54;1131;1058;56;1118;1022;;;
9047;Belesta;9;commune;3;979;681;127;1000;970;130;999;969;2;116;116
9049;Benac;9;commune;;;;14;1482;1617;14;1482;1617;;;
9055;Bethmale;9;commune;;;;28;1358;1385;28;1358;1385;;;
9060;Bonnac;9;commune;;;;63;1293;1198;63;1293;1198;2;1968;1968
9061;Les Bordes-sur-Arize;9;commune;;;;56;923;797;56;923;797;;;
9065;Boussenac;9;commune;;;;74;1506;1389;74;1506;1389;;;
9067;Brie;9;commune;;;;18;1394;1258;18;1394;1258;;;
9068;Burret;9;commune;;;;3;1315;1219;3;1315;1219;;;
9075;Campagne-sur-Arize;9;commune;;;;43;1404;909;43;1404;909;;;
9085;Castillon-en-Couserans;9;commune;5;647;786;36;1165;862;41;1102;822;1;1533;1533
9113;Erce;9;commune;;;;49;1830;1692;49;1830;1692;;;
