code_geo;libelle_geo;echelle_geo;nb_ventes_whole_appartement;moy_prix_m2_whole_appartement;med_prix_m2_whole_appartement;nb_ventes_whole_maison;moy_prix_m2_whole_maison;med_prix_m2_whole_maison;nb_ventes_whole_apt_maison;moy_prix_m2_whole_apt_maison;med_prix_m2_whole_apt_maison;nb_ventes_whole_local;moy_prix_m2_whole_local;med_prix_m2_whole_local;tx_chomage;annee;population_moins_25_ans;evolution_2019_2013_25;population_25_moins_de_50_ans;evolution_2019_2013_25_50;population_50_moins_65;evolution_2019_2013_50_65;population_65_et_plus;evolution_2019_2013_60_plus;population_totale;evolution_population_totale;part_de_femme;part_dep_region;tx_de_natalite;tx_de_mortalite;esperance_de_vie_a_la_naissance_hommes;esperance_de_vie_a_la_naissance_femmes;revenu_median;salaire_net_horaire_moyen_ensemble;tx_pauvrete_menage
9;Ariege;departement;2034;1485;1370;11780;1413;1339;13814;1424;1346;525;928;662;9,6;2023;37510;-4,1;42300;-4,2;33560;0;39920;11,3;153290;0,4;51;2,6;7,8;13;79,9;85,1;19440;13,5;17,9
11;Aude;departement;11608;2178;2037;28576;1846;1678;40184;1942;1769;1325;1140;794;10,5;2023;95740;-2,3;103250;-3,3;78080;2,8;97000;15,1;374070;2,5;51,9;6,3;8,5;12,7;79;85;18890;13,2;20
12;Aveyron;departement;5884;1708;1692;13974;1436;1349;19858;1516;1464;993;798;500;5,8;2023;68160;-1,4;75490;-5,2;59880;0,8;76070;9,4;279600;0,7;50,6;4,7;8;12,8;81;86,2;20440;13,4;14
30;Gard;departement;21791;2494;2130;36586;2519;2387;58377;2510;2312;2248;1643;1141;10,2;2023;207790;-1,4;214250;-3,7;154730;2,4;171660;15,3;748440;2,1;51,8;12,6;9,9;10,8;79,5;85;19860;14,6;19,4
31;Haute-Garonne;departement;61889;3108;2881;49514;2764;2664;111403;2955;2778;4200;2994;1809;7,5;2023;443410;6,9;476650;4,5;248030;8,2;231940;17;1400040;7,8;51,3;23,6;11;7,3;81,3;86,4;23520;17,2;13,3
32;Gers;departement;2048;1505;1451;12345;1539;1456;14393;1534;1455;565;782;547;5,8;2023;45330;-2,6;50610;-6,1;42840;0,9;52590;11,1;191380;0,6;51,2;3,2;7,8;12,9;80,6;85,7;20690;14,1;15
34;Herault;departement;65774;3262;3137;53304;2916;2750;119078;3107;2961;5203;2477;1891;10,4;2023;347510;5,1;357020;3,9;218390;5,7;252710;19,6;1175620;7,6;52,2;19,8;10,8;9,9;79,9;85,5;20390;15;18,7
46;Lot;departement;1521;1458;1368;11588;1541;1483;13109;1532;1466;602;765;525;7,5;2023;38640;-5,3;44200;-6,7;39750;-0,3;51510;12,7;174090;0,2;51,5;2,9;7,1;13,2;79,9;85,5;20620;13,6;14,9
48;Lozere;departement;708;1375;1336;3802;1447;1337;4510;1436;1337;216;634;417;4,7;2023;19340;-2,2;21310;-6,3;16600;-0,5;19360;11,3;76600;0;50,1;1,3;8,2;14,6;78,6;84,7;20170;12,7;14,9
65;Hautes-Pyrenees;departement;9260;1856;1556;11418;1638;1547;20678;1735;1550;899;1182;607;7,9;2023;56500;-2,6;61720;-5,1;50100;0,2;61240;9,7;229570;0,3;51,9;3,9;7,9;13,2;79,3;85,3;20290;13,4;15,5
66;Pyrenees-Orientales;departement;26596;2338;2103;31902;2376;2273;58498;2359;2206;2223;1501;1181;12,4;2023;125900;-0,5;132860;-1,9;96440;4,4;124770;15,2;479980;3,7;52,5;8,1;9,3;12,7;78,2;85,1;19080;13,5;20,7
81;Tarn;departement;3964;1823;1729;22616;1627;1562;26580;1656;1594;1101;894;562;8;2023;102570;-0,8;108290;-3;80980;1,8;98000;12,2;389840;2,1;51,8;6,6;8,6;12,3;79,9;86,1;20290;14,2;15,3
82;Tarn-et-Garonne;departement;3551;1670;1574;15067;1740;1711;18618;1727;1677;643;921;765;8,8;2023;73910;3,4;77370;-0,7;51870;3,3;57520;13,3;260670;4,1;51,1;4,4;10,2;10,5;79,3;85,3;19990;14;16,3
